iter	Passed	Remaining
0	10	9995
1	11	5695
2	12	4073
3	12	3219
4	14	2804
5	14	2454
6	15	2199
7	16	2004
8	16	1853
9	17	1737
10	18	1644
11	18	1562
12	19	1506
13	20	1449
14	21	1393
15	21	1340
16	22	1303
17	23	1261
18	23	1225
19	24	1193
20	24	1164
21	25	1138
22	26	1113
23	27	1105
24	27	1089
25	28	1071
26	29	1055
27	29	1037
28	30	1024
29	31	1011
30	32	1024
31	33	1009
32	33	994
33	34	989
34	35	976
35	36	965
36	36	952
37	37	940
38	37	929
39	38	918
40	38	908
41	39	905
42	40	897
43	40	887
44	41	880
45	42	884
46	43	878
47	43	871
48	44	864
49	45	857
50	46	859
51	62	1135
52	62	1124
53	63	1113
54	64	1103
55	64	1092
56	65	1082
57	66	1072
58	66	1063
59	67	1053
60	67	1044
61	68	1034
62	68	1025
63	69	1016
64	70	1007
65	70	999
66	71	993
67	71	985
68	72	977
69	73	970
70	73	964
71	74	957
72	74	950
73	75	943
74	76	942
75	76	935
76	77	929
77	78	923
78	78	917
79	79	911
80	79	905
81	80	899
82	80	891
83	81	886
84	81	880
85	82	875
86	82	869
87	83	864
88	84	859
89	84	855
90	85	851
91	85	847
92	86	842
93	86	838
94	87	833
95	88	830
96	88	826
97	89	822
98	89	818
99	90	814
100	91	810
101	91	806
102	92	802
103	92	798
104	93	794
105	93	790
106	94	787
107	94	783
108	95	780
109	96	777
110	96	773
111	97	770
112	97	767
113	98	763
114	98	760
115	99	757
116	99	753
117	100	750
118	100	747
119	101	744
120	102	741
121	102	737
122	103	735
123	104	734
124	104	732
125	105	729
126	105	726
127	106	723
128	107	723
129	107	720
130	108	718
131	108	715
132	109	712
133	109	709
134	110	708
135	111	705
136	111	703
137	112	701
138	112	698
139	113	696
140	113	694
141	114	690
142	114	688
143	115	685
144	115	683
145	116	681
146	117	679
147	117	678
148	118	677
149	119	676
150	119	674
151	120	672
152	121	670
153	121	668
154	122	666
155	122	664
156	123	662
157	123	660
158	124	658
159	125	656
160	125	654
161	126	652
162	126	650
163	127	648
164	127	646
165	128	644
166	128	643
167	129	641
168	130	639
169	130	637
170	131	636
171	131	634
172	132	633
173	133	632
174	133	630
175	134	629
176	134	627
177	135	626
178	136	624
179	136	623
180	137	622
181	138	620
182	138	619
183	139	617
184	139	616
185	140	614
186	141	613
187	141	611
188	142	610
189	142	609
190	143	608
191	144	606
192	144	605
193	145	604
194	146	603
195	146	601
196	147	599
197	161	653
198	161	651
199	162	650
200	163	648
201	163	646
202	164	645
203	164	643
204	165	642
205	166	640
206	166	639
207	167	638
208	168	636
209	168	634
210	169	633
211	169	631
212	170	629
213	171	628
214	172	629
215	173	628
216	173	627
217	174	626
218	175	625
219	176	624
220	176	623
221	177	622
222	178	620
223	178	619
224	179	618
225	180	616
226	180	615
227	181	614
228	181	612
229	182	611
230	183	609
231	183	607
232	184	606
233	184	604
234	185	602
235	185	601
236	186	600
237	187	599
238	187	597
239	188	596
240	189	595
241	189	594
242	190	593
243	191	592
244	191	590
245	192	589
246	192	587
247	193	585
248	194	585
249	194	583
250	195	582
251	195	580
252	196	579
253	196	577
254	197	576
255	197	574
256	198	572
257	198	571
258	199	569
259	199	568
260	200	566
261	203	573
262	204	572
263	204	571
264	205	569
265	205	568
266	206	566
267	206	565
268	207	563
269	207	562
270	208	561
271	209	560
272	209	559
273	210	557
274	211	556
275	211	554
276	212	553
277	212	552
278	213	550
279	213	549
280	214	547
281	214	546
282	215	544
283	215	543
284	216	542
285	217	541
286	217	540
287	218	539
288	218	538
289	219	536
290	219	535
291	220	534
292	220	532
293	221	531
294	221	530
295	222	528
296	222	527
297	223	526
298	224	525
299	224	524
300	225	523
301	225	521
302	226	520
303	226	519
304	227	517
305	227	516
306	228	515
307	228	514
308	229	513
309	230	511
310	230	510
311	231	509
312	231	508
313	232	507
314	232	506
315	233	505
316	233	503
317	234	502
318	234	501
319	235	500
320	236	499
321	236	498
322	237	497
323	237	496
324	238	495
325	239	494
326	239	493
327	240	491
328	240	490
329	241	489
330	241	488
331	242	487
332	242	486
333	243	485
334	243	483
335	244	483
336	245	482
337	246	482
338	246	481
339	247	479
340	247	478
341	248	477
342	248	476
343	249	475
344	249	474
345	250	473
346	250	472
347	251	470
348	251	469
349	252	468
350	253	467
351	253	466
352	254	465
353	254	464
354	255	463
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	259	456
362	259	455
363	260	455
364	261	454
365	261	453
366	262	452
367	262	451
368	263	450
369	263	449
370	264	448
371	265	447
372	265	446
373	266	445
374	266	444
375	267	443
376	267	442
377	268	441
378	268	440
379	269	439
380	269	438
381	270	437
382	270	436
383	271	435
384	271	434
385	272	433
386	273	432
387	273	431
388	274	430
389	274	429
390	275	429
391	276	428
392	276	427
393	277	426
394	277	425
395	278	424
396	278	423
397	279	422
398	279	421
399	280	420
400	280	419
401	281	418
402	281	417
403	282	416
404	283	415
405	283	414
406	284	413
407	284	412
408	285	412
409	285	411
410	286	410
411	287	410
412	288	409
413	289	409
414	289	408
415	290	408
416	291	407
417	291	406
418	292	405
419	293	404
420	293	403
421	294	403
422	295	402
423	295	402
424	296	401
425	297	400
426	297	399
427	298	398
428	298	397
429	299	397
430	300	396
431	301	396
432	302	396
433	303	395
434	303	394
435	304	393
436	305	394
437	307	394
438	307	393
439	308	392
440	309	392
441	309	391
442	310	390
443	311	389
444	312	389
445	312	388
446	313	388
447	314	387
448	315	387
449	316	386
450	316	385
451	317	384
452	317	383
453	318	382
454	318	381
455	319	381
456	319	380
457	320	379
458	321	378
459	321	377
460	322	376
461	322	375
462	323	375
463	324	374
464	324	373
465	325	372
466	326	372
467	326	371
468	327	370
469	328	370
470	328	369
471	329	368
472	329	367
473	330	367
474	331	366
475	332	365
476	332	364
477	333	363
478	333	363
479	334	362
480	334	361
481	335	360
482	335	359
483	336	358
484	336	357
485	337	356
486	338	356
487	338	355
488	339	354
489	340	353
490	340	353
491	341	352
492	341	351
493	342	350
494	343	350
495	343	349
496	344	348
497	344	347
498	345	346
499	346	346
500	346	345
501	347	344
502	347	343
503	348	342
504	348	341
505	349	341
506	349	340
507	350	339
508	351	338
509	351	337
510	352	336
511	352	336
512	353	335
513	353	334
514	354	333
515	354	332
516	355	332
517	356	331
518	357	331
519	358	330
520	358	329
521	359	329
522	359	328
523	360	327
524	361	326
525	361	326
526	362	325
527	362	324
528	363	323
529	364	322
530	364	322
531	365	321
532	365	320
533	366	319
534	366	318
535	367	318
536	368	317
537	368	316
538	369	315
539	369	315
540	370	314
541	371	313
542	371	312
543	372	312
544	373	311
545	373	310
546	374	309
547	374	309
548	375	308
549	376	307
550	376	307
551	377	306
552	378	305
553	378	305
554	379	304
555	380	303
556	380	302
557	381	302
558	382	301
559	382	300
560	383	300
561	383	299
562	384	298
563	385	297
564	385	297
565	386	296
566	386	295
567	388	295
568	388	294
569	389	293
570	389	292
571	390	292
572	391	291
573	391	290
574	392	289
575	392	288
576	393	288
577	393	287
578	394	286
579	394	286
580	395	285
581	396	284
582	396	283
583	397	282
584	397	282
585	398	281
586	398	280
587	399	279
588	399	279
589	400	278
590	400	277
591	401	276
592	402	276
593	403	275
594	403	274
595	404	274
596	404	273
597	405	272
598	405	271
599	406	271
600	407	270
601	407	269
602	408	268
603	408	267
604	409	267
605	409	266
606	410	265
607	411	265
608	411	264
609	412	263
610	413	263
611	414	262
612	414	261
613	415	261
614	415	260
615	416	259
616	416	258
617	417	257
618	418	257
619	418	256
620	419	255
621	419	255
622	420	254
623	421	253
624	421	253
625	422	252
626	422	251
627	423	250
628	423	249
629	424	249
630	425	248
631	425	247
632	426	247
633	427	246
634	427	245
635	428	245
636	429	244
637	429	243
638	430	243
639	431	242
640	432	242
641	433	241
642	434	241
643	434	240
644	435	239
645	436	239
646	436	238
647	437	237
648	437	236
649	438	236
650	438	235
651	439	234
652	440	233
653	440	233
654	441	232
655	442	231
656	442	231
657	443	230
658	443	229
659	444	228
660	445	228
661	445	227
662	446	226
663	446	226
664	447	225
665	448	224
666	448	223
667	449	223
668	449	222
669	450	221
670	450	221
671	451	220
672	451	219
673	452	218
674	452	218
675	453	217
676	454	216
677	455	216
678	455	215
679	456	214
680	457	214
681	457	213
682	458	212
683	458	211
684	459	211
685	459	210
686	460	209
687	461	209
688	461	208
689	462	207
690	462	207
691	463	206
692	464	205
693	464	204
694	465	204
695	465	203
696	466	202
697	467	202
698	467	201
699	468	200
700	468	200
701	469	199
702	470	198
703	470	197
704	471	197
705	472	196
706	472	195
707	473	195
708	473	194
709	474	193
710	474	193
711	475	192
712	475	191
713	476	190
714	477	190
715	477	189
716	478	188
717	479	188
718	479	187
719	480	186
720	480	186
721	481	185
722	481	184
723	482	183
724	483	183
725	483	182
726	484	181
727	485	181
728	486	180
729	486	179
730	487	179
731	487	178
732	488	177
733	488	177
734	490	176
735	491	176
736	492	175
737	492	174
738	493	174
739	494	173
740	495	173
741	495	172
742	496	171
743	497	171
744	497	170
745	498	169
746	498	168
747	499	168
748	499	167
749	500	166
750	501	166
751	501	165
752	502	164
753	502	164
754	503	163
755	503	162
756	504	161
757	504	161
758	505	160
759	505	159
760	506	159
761	507	158
762	507	157
763	508	156
764	508	156
765	509	155
766	509	154
767	510	154
768	510	153
769	511	152
770	511	152
771	512	151
772	512	150
773	513	149
774	513	149
775	514	148
776	515	147
777	515	147
778	516	146
779	516	145
780	517	145
781	517	144
782	518	143
783	519	143
784	519	142
785	520	141
786	520	140
787	521	140
788	521	139
789	522	138
790	523	138
791	523	137
792	524	136
793	525	136
794	525	135
795	526	134
796	526	134
797	527	133
798	528	132
799	528	132
800	529	131
801	529	130
802	530	130
803	530	129
804	531	128
805	531	128
806	532	127
807	532	126
808	533	125
809	534	125
810	534	124
811	535	123
812	535	123
813	536	122
814	536	121
815	537	121
816	538	120
817	538	119
818	539	119
819	540	118
820	540	117
821	541	117
822	541	116
823	542	115
824	542	115
825	543	114
826	543	113
827	544	113
828	544	112
829	545	111
830	546	111
831	546	110
832	547	109
833	547	109
834	548	108
835	548	107
836	549	106
837	549	106
838	550	105
839	550	104
840	551	104
841	552	103
842	552	102
843	553	102
844	554	101
845	554	100
846	555	100
847	555	99
848	556	98
849	556	98
850	557	97
851	557	96
852	558	96
853	558	95
854	559	94
855	559	94
856	560	93
857	560	92
858	561	92
859	562	91
860	562	90
861	563	90
862	563	89
863	564	88
864	564	88
865	565	87
866	565	86
867	566	86
868	567	85
869	567	84
870	568	84
871	568	83
872	569	82
873	569	82
874	570	81
875	570	80
876	571	80
877	572	79
878	572	78
879	573	78
880	573	77
881	574	76
882	574	76
883	575	75
884	575	74
885	576	74
886	576	73
887	577	72
888	578	72
889	578	71
890	579	70
891	580	70
892	580	69
893	581	68
894	582	68
895	582	67
896	583	66
897	583	66
898	584	65
899	584	64
900	585	64
901	585	63
902	586	62
903	587	62
904	587	61
905	588	61
906	588	60
907	589	59
908	590	59
909	590	58
910	591	57
911	591	57
912	592	56
913	593	55
914	593	55
915	594	54
916	595	53
917	595	53
918	596	52
919	596	51
920	597	51
921	597	50
922	598	49
923	598	49
924	599	48
925	599	47
926	600	47
927	600	46
928	601	45
929	602	45
930	602	44
931	603	44
932	603	43
933	604	42
934	604	42
935	605	41
936	605	40
937	606	40
938	606	39
939	607	38
940	608	38
941	608	37
942	609	36
943	609	36
944	610	35
945	610	34
946	611	34
947	611	33
948	612	32
949	612	32
950	613	31
951	613	30
952	614	30
953	615	29
954	615	29
955	616	28
956	616	27
957	617	27
958	617	26
959	618	25
960	619	25
961	619	24
962	620	23
963	620	23
964	621	22
965	621	21
966	622	21
967	622	20
968	623	19
969	623	19
970	624	18
971	625	18
972	625	17
973	626	16
974	626	16
975	627	15
976	627	14
977	628	14
978	628	13
979	629	12
980	629	12
981	630	11
982	631	10
983	631	10
984	632	9
985	632	8
986	633	8
987	633	7
988	634	7
989	634	6
990	635	5
991	636	5
992	636	4
993	637	3
994	638	3
995	638	2
996	639	1
997	639	1
998	640	0
999	641	0
